idno,filename,type,year
dh0987,SCHNEIDER_Stefanie_Re__ARTigo__Neuentwurf_eines_Social_Taggi.xml,Vortrag,2023
dh0988,SCHÖCH_Christof_Burrows_Zeta__Varianten_und_Evaluation.xml,Vortrag,2018
dh0989,SCHÖCH_Christof_Für_eine_computergestützte_literarische_Gattungsstilistik.txt,unbekannt,2014
dh0990,SCHOLGER_Walter_Freier_Wissenszugang_gegen_Geistiges_Eigentum_Hürden_und_Lösungsmodelle.txt,unbekannt,2014
dh0991,SCHOLGER_Walter_Rechtsfragen_in_DH_Projekten__Alles__was_man.xml,Workshop,2018
dh0992,SCHOLZ_Martin_Digitale_Sammlungserschlie_ung_mit_WissKI_und_.xml,Workshop,2018
dh0993,SCHOLZ_Martin_Digitalisierung_der_Universitätssammlungen_der_FAU_Erlangen_Nünberg.txt,Poster,2015
dh0994,SCHOLZ_Martin_Objekte_im_Netz___Die_Digitalisierung_der_Samm.xml,Vortrag,2018
dh0995,SCHÖPF_Jürgen_Besonderheiten_audiovisueller_Forschungsarchive_in_den.txt,unbekannt,2014
dh0996,SCHRADE_Torsten_Research_Software_Engineering_und_Digital_Hu.xml,Workshop,2018
dh0997,SCHREIBER_Carolin_Pilotphase_Handschriftendigitalisierung.txt,unbekannt,2014
dh0998,SCHUBERT_Charlotte_Workshop_eComparatio__Textvergleich_und_d.xml,Workshop,2018
dh0999,SCHULZ_Daniela_Abgrenzung_oder_Entgrenzung__Zum_Spannungsver.xml,Panel,2018
dh1000,SCHULZ_Daniela_Erfahrungen_aus_dem_Bibliotheca_legum_Projekt._Zum_Aufbau_einer_Handschriftendatenbank.txt,Poster,2015
dh1001,SCHULZ_Daniela_Offene_Editionen___Die_Task_Area_Editionen_im.xml,Poster,2023
dh1002,SCHUMACHER_Mareike_DisKo__Zur_Einbindung_von_Citizen_Humanit.xml,Vortrag,2023
dh1003,SCHUMACHER_Mareike_GitMA_oder_CATMA_f_r_Fortgeschrittene.xml,Workshop,2023
dh1004,SCHUSTER_Katharina_Einfluss_immersiver_Benutzerschnittstellen_auf_kognitive_Prozesse.txt,unbekannt,2014
dh1005,SCHWAB_Michel__Die_Greta_Garbo_der_Leichtathletik____Eine_sy.xml,Vortrag,2023
dh1006,SCHWENGELBECK_Isabel_TEI_Editionswerkstatt_Urkunden_UPB__.xml,Poster,2018
dh1007,SEIDEL_Henry_DH_Toolvergleich_im_Hinblick_auf_Texte_historis.xml,Poster,2018
dh1008,SEIFERT_Sabine_Gelehrsamkeit_will_verlinkt_werden._Zur_digitalen_Erschlieáung_von_August_Boeckhs_Nachlass_und_Bibliothek.txt,Poster,2015
dh1009,sektionen-001.xml,Sektion,2016
dh1010,sektionen-002.xml,Sektion,2016
dh1011,sektionen-003.xml,Sektion,2016
dh1012,sektionen-004.xml,Sektion,2016
dh1013,sektionen-005.xml,Sektion,2016
dh1014,SELTMANN_Melanie__Kollaborativ_arbeiten_und_annotieren___Die.xml,Poster,2018
dh1015,SELTMANN_Melanie_Elisabeth_H___PublicDH_oder_doch_nur__WissK.xml,Vortrag,2023
dh1016,SELTMANN_Melanie_Elisabeth_H__Die_perfekte_digitale_Open_Acc.xml,Workshop,2023
dh1017,SEMLAK_Martina_Digitale_Edition_als_Methode_kunsthistorischer_Forschung_Die_Werktagebücher_von_Hartmut_Skerbisch.txt,unbekannt,2014
dh1018,SIMEK_Jakub_Eine_digitale_Ausgabe_des_Welschen_Gastes_als_Chance.txt,unbekannt,2014
dh1019,"SIMEK_JAKUB_Kodierung,_Analyse_und_Visualisierung_mittelalterlicher_Kodexstrukturen_im_editorischen_Kontext.txt",Poster,2015
dh1020,SLUYTER_G_THJE_Henny_Opening_a_Journal__Erfahrungen_bei_der_.xml,Poster,2023
dh1021,SOETHAERT_Bart_Offenheit_durch_Dokumentation__Lose_Forschung.xml,Vortrag,2023
dh1022,SONDERGELD_Ute_Europeana_Sounds_Ein_Portal_zu_Europas_klingendem_Kulturerbe.txt,Poster,2015
dh1023,SPORLEDER_Caroline_Chancen_und_Grenzen_von_Digitalen_Methode.xml,Poster,2018
dh1024,SPRINGMANN_Uwe_Zur_OCR_frühneuzeitlicher_Drucke_am_Beispiel_des_RIDGES-Korpus_von_Kräutertexten.txt,Poster,2015
dh1025,STADLER_Peter__Storied_Collections___Ein_kritischer_Blick_au.xml,Panel,2018
dh1026,STAHN_Lena_Luise_Von_Wissensdingen_und_Werkr_umen__Graph_bas.xml,DoctoralConsortium,2023
dh1027,STARK_Martin_Digital_Humanities_und_Digitale_Netzwerkkarten_VennMaker_als_Softwarewerkzeug.txt,unbekannt,2014
dh1028,STCKER_Thomas_ADHO_Special_Interest_Group_for_Libraries_and_Digital_Humanities.txt,Poster,2015
dh1029,STEINER_Andrea_Common Names 4 living organisms @ EUROPEANA Ein Beispiel für Mehrwert durch interdisziplinäre Kollaboration.txt,Poster,2015
dh1030,STEINER_Elisabeth_Sharing_the_CROWN___Von_Sammlungsdaten_zu_.xml,Poster,2023
dh1031,STEINER_Elisabeth_Virtuelle_Ausstellungen_und_Rundgänge__dig.xml,Poster,2018
dh1032,STEYER_Timo_Peer_to_Peer_statt_Client_Server__Der_Mehrwert_k.xml,Poster,2018
dh1033,STIEGLECKER_Maria_WZIS_und_Bernstein_Die_digitale_Erschließung.txt,unbekannt,2014
dh1034,STIGLER_Johannes_GAMS_Geisteswissenschaftliches_Asset_Management_System.txt,unbekannt,2014
dh1035,STÖRL_Uta_Kooperatives_Forschungsprojekt_Online_Brief_Datenbank.txt,unbekannt,2014
dh1036,STROBEL_Jochen_Zur_Zukunft_der_Digitalen_Briefedition___koop.xml,Workshop,2018
dh1037,SU_REZ_CRONAUER_Elena_Korrespondenzen_der_Fr_hromantik__Ein_.xml,Vortrag,2023
dh1038,SUTOR_Nadine_Doctoral_Consortium__Nadine_Sutor.xml,DoctoralConsortium,2023
dh1039,TABTI_Samira_What_do_you_do_with_5_million_posts__Versuche_z.xml,Vortrag,2018
dh1040,TENHAEF_Tobias_APW_digital_Perspektiven_einer_digitalisierten_Edition.txt,unbekannt,2014
dh1041,THALLER_Manfred_Digital_Humanities_als_Beruf_Der_Weg_zu_einem_Curriculum.txt,unbekannt,2014
